"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"14410","100%",TRUE,"Private room in home","within an hour",128,4.66,354,4.56,4.59,1,556,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.59,4.59
"14411","94%",TRUE,"Private room in casa particular","within an hour",4,4.75,356,5,5,1,270,"Cuauhtémoc","Private room",2,1,5,1125,TRUE,5,5
"14412","100%",TRUE,"Private room in home","within a few hours",7,4.86,179,5,5,1,600,"Benito Juárez","Private room",2,1,2,365,TRUE,5,5
"14413","40%",TRUE,"Private room in rental unit","N/A",1,5,365,5,5,1,500,"Coyoacán","Private room",1,1,2,365,TRUE,5,5
"14414","100%",TRUE,"Private room in condo","within an hour",8,3.5,302,4.63,4.25,1,350,"Miguel Hidalgo","Private room",1,1,1,48,TRUE,4.25,4.25
"14415","100%",TRUE,"Private room in serviced apartment","within an hour",3,4.67,327,5,4.33,1,1560,"Miguel Hidalgo","Private room",2,1,1,1125,TRUE,4.33,4.33
"14416","100%",TRUE,"Private room in condo","within a day",0,4.75,148,4.83,4.71,1,857,"Benito Juárez","Private room",1,1,2,1125,TRUE,4.71,4.71
"14417","100%",TRUE,"Entire rental unit","within an hour",40,4.93,332,4.9,4.85,1,1170,"Miguel Hidalgo","Entire home/apt",2,NA,1,365,TRUE,4.85,4.85
"14418","0%",TRUE,"Entire rental unit","a few days or more",0,4.75,77,4.83,4.71,2,2000,"La Magdalena Contreras","Entire home/apt",4,2,2,1125,TRUE,4.71,4.71
"14419","100%",TRUE,"Private room in home","within an hour",109,4.69,363,4.52,4.66,1,573,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.66,4.66
"14420","96%",TRUE,"Entire vacation home","within an hour",48,4.81,339,4.94,4.96,2,913,"Benito Juárez","Entire home/apt",4,3,1,1125,TRUE,4.96,4.96
"14421","91%",TRUE,"Private room in rental unit","within a day",3,4.67,256,5,4.67,1,242,"Coyoacán","Private room",1,1,28,1125,TRUE,4.67,4.67
"14422","100%",TRUE,"Entire rental unit","within an hour",52,4.9,339,4.94,4.87,2.5,2298,"Cuauhtémoc","Entire home/apt",4,2,1,1125,TRUE,4.87,4.87
"14423","100%",TRUE,"Private room in home","within an hour",138,4.62,359,4.64,4.5,1,541,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.5,4.5
"14424","100%",TRUE,"Private room in home","within an hour",0,4.75,365,4.83,4.71,1,698,"Coyoacán","Private room",3,2,1,965,TRUE,4.71,4.71
"14425","48%",TRUE,"Entire condo","within a few hours",36,4.81,333,4.86,4.75,2,1200,"Benito Juárez","Entire home/apt",4,2,2,96,TRUE,4.75,4.75
"14426","100%",TRUE,"Private room in nature lodge","within an hour",2,5,299,5,5,1.5,1811,"Cuauhtémoc","Private room",2,1,1,365,TRUE,5,5
"14427","100%",TRUE,"Private room in casa particular","within an hour",54,4.76,80,4.63,4.8,1,296,"Benito Juárez","Private room",1,1,1,365,TRUE,4.8,4.8
"14428","92%",TRUE,"Entire condo","N/A",3,5,0,5,5,1,840,"Cuauhtémoc","Entire home/apt",5,2,4,30,TRUE,5,5
"14429","97%",TRUE,"Private room in condo","within an hour",28,4.79,310,4.96,4.75,1,526,"Cuauhtémoc","Private room",2,2,2,90,TRUE,4.75,4.75
"14430","100%",TRUE,"Entire rental unit","within an hour",17,4.94,362,5,5,3,1500,"La Magdalena Contreras","Entire home/apt",4,3,3,1125,TRUE,5,5
"14431","56%",TRUE,"Private room in rental unit","a few days or more",0,4.75,364,4.83,4.71,1.5,1500,"Cuauhtémoc","Private room",2,1,2,365,TRUE,4.71,4.71
"14432","100%",TRUE,"Entire serviced apartment","within a few hours",5,4.4,332,4.6,4.6,1,950,"Miguel Hidalgo","Entire home/apt",3,2,7,365,TRUE,4.6,4.6
"14433","87%",TRUE,"Private room in loft","within a few hours",7,4.57,365,5,3.14,1,390,"Cuauhtémoc","Private room",1,1,1,1125,TRUE,3.14,3.14
"14434","29%",TRUE,"Entire condo","within a day",0,4.75,365,4.83,4.71,1,600,"Benito Juárez","Entire home/apt",4,2,2,1125,TRUE,4.71,4.71
"14435","0%",TRUE,"Entire loft","a few days or more",0,4.75,89,4.83,4.71,1.5,850,"Cuauhtémoc","Entire home/apt",2,1,3,30,TRUE,4.71,4.71
"14436","100%",TRUE,"Entire serviced apartment","within an hour",68,4.85,338,4.9,4.66,1,999,"Cuauhtémoc","Entire home/apt",2,1,1,1125,TRUE,4.66,4.66
"14437","100%",TRUE,"Entire condo","within an hour",23,4.83,72,5,4.7,1,963,"Cuauhtémoc","Entire home/apt",4,2,2,1125,TRUE,4.7,4.7
"14438","67%",TRUE,"Private room in casa particular","within a few hours",0,4.75,365,4.83,4.71,1,459,"Cuauhtémoc","Private room",2,1,2,365,TRUE,4.71,4.71
"14439","N/A",TRUE,"Entire home","N/A",58,4.83,211,4.98,4.86,3,3738,"Cuauhtémoc","Entire home/apt",15,9,1,1125,TRUE,4.86,4.86
"14440","96%",TRUE,"Entire serviced apartment","within an hour",9,5,334,5,4.89,1,2179,"Cuauhtémoc","Entire home/apt",6,3,2,1125,TRUE,4.89,4.89
"14441","98%",TRUE,"Private room in rental unit","within an hour",3,4.67,30,4.33,4.67,1,335,"Cuauhtémoc","Private room",1,1,4,1125,TRUE,4.67,4.67
"14442","30%",TRUE,"Entire rental unit","N/A",2,4.5,116,5,4.5,1,2321,"Cuauhtémoc","Entire home/apt",4,2,3,90,TRUE,4.5,4.5
"14443","100%",TRUE,"Entire rental unit","within an hour",16,4.94,320,4.88,4.88,1,800,"Benito Juárez","Entire home/apt",2,1,1,365,TRUE,4.88,4.88
"14444","97%",TRUE,"Private room in rental unit","within a few hours",30,4.5,361,4.5,4.53,1,300,"Cuauhtémoc","Private room",2,1,3,365,TRUE,4.53,4.53
"14445","100%",TRUE,"Entire serviced apartment","within an hour",72,4.89,339,4.96,4.75,1,1042,"Cuauhtémoc","Entire home/apt",2,1,1,1125,TRUE,4.75,4.75
"14446","100%",TRUE,"Entire condo","within an hour",3,5,356,5,5,2,2799,"Cuauhtémoc","Entire home/apt",4,2,5,1125,TRUE,5,5
"14447","100%",TRUE,"Entire rental unit","within an hour",13,4.92,271,4.85,4.92,1,800,"Benito Juárez","Entire home/apt",2,1,1,1125,TRUE,4.92,4.92
