"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"1","N/A",FALSE,"Entire loft","within a day",21,4.95,324,5,4.86,1.5,1434,"Coyoacán","Entire home/apt",3,1,1,1125,TRUE,4.86,4.86
"2","N/A",TRUE,"Entire guest suite","N/A",61,4.88,346,4.95,4.84,1,830,"Coyoacán","Entire home/apt",2,1,3,1125,TRUE,4.84,4.84
"3","90%",TRUE,"Entire rental unit","within an hour",39,4.71,87,4.58,4.71,2,1469,"Miguel Hidalgo","Entire home/apt",6,3,24,1125,TRUE,4.71,4.71
"4","N/A",TRUE,"Entire villa","N/A",0,4.75,363,4.83,4.71,1,3658,"Cuajimalpa de Morelos","Entire home/apt",2,1,1,7,TRUE,4.71,4.71
"5","86%",TRUE,"Entire home","within an hour",64,4.7,357,4.98,4.48,5.5,18000,"Cuauhtémoc","Entire home/apt",14,8,1,365,TRUE,4.48,4.48
"6","70%",TRUE,"Entire loft","within a few hours",78,4.71,240,5,4.83,2,2561,"Cuauhtémoc","Entire home/apt",2,1,2,30,TRUE,4.83,4.83
"7","95%",TRUE,"Entire condo","within an hour",84,4.88,144,4.75,4.79,1,650,"Cuauhtémoc","Entire home/apt",2,1,3,250,TRUE,4.79,4.79
"8","100%",TRUE,"Private room in home","within an hour",62,4.9,168,4.94,4.87,1,1089,"Cuauhtémoc","Private room",2,1,2,1125,TRUE,4.87,4.87
"9","100%",TRUE,"Entire condo","within an hour",18,4.75,156,4.88,4.81,1,943,"Cuauhtémoc","Entire home/apt",2,1,2,60,TRUE,4.81,4.81
"10","58%",TRUE,"Entire home","within a few hours",120,4.69,270,4.34,4.75,5.5,2561,"Cuauhtémoc","Entire home/apt",16,16,1,90,TRUE,4.75,4.75
"11","98%",TRUE,"Entire rental unit","within an hour",272,4.96,153,4.95,4.91,1,1881,"Cuauhtémoc","Entire home/apt",3,2,3,1125,TRUE,4.91,4.91
"12","73%",TRUE,"Entire rental unit","within a day",47,4.73,362,4.98,4.91,1,2088,"Cuauhtémoc","Entire home/apt",4,2,4,30,TRUE,4.91,4.91
"13","100%",TRUE,"Entire loft","within an hour",585,4.69,358,4.62,4.61,1,402,"Venustiano Carranza","Entire home/apt",2,2,1,1125,TRUE,4.61,4.61
"14","100%",TRUE,"Entire rental unit","within a day",114,4.95,145,4.96,4.92,1,1097,"Coyoacán","Entire home/apt",2,1,7,180,TRUE,4.92,4.92
"15","87%",TRUE,"Room in serviced apartment","within an hour",23,4.83,340,4.83,4.78,1,1006,"Cuauhtémoc","Hotel room",2,1,2,730,TRUE,4.78,4.78
"16","87%",TRUE,"Entire serviced apartment","within an hour",7,4.29,350,4.43,4.29,1,998,"Cuauhtémoc","Entire home/apt",2,1,2,730,TRUE,4.29,4.29
"17","0%",TRUE,"Private room in rental unit","N/A",5,4.2,363,4.8,4.6,1.5,726,"Cuauhtémoc","Private room",2,1,1,14,TRUE,4.6,4.6
"18","N/A",TRUE,"Private room in home","a few days or more",5,4.6,284,4.4,4.4,1.5,375,"Coyoacán","Private room",1,1,2,1125,TRUE,4.4,4.4
"19","0%",TRUE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,2835,"Miguel Hidalgo","Private room",2,2,1,1125,TRUE,4.71,4.71
"20","99%",TRUE,"Entire loft","within an hour",10,5,317,4.89,4.78,1.5,3413,"Miguel Hidalgo","Entire home/apt",2,1,2,365,TRUE,4.78,4.78
"21","99%",TRUE,"Entire rental unit","within an hour",80,4.84,303,4.89,4.68,1,1200,"Miguel Hidalgo","Entire home/apt",2,1,2,1125,TRUE,4.68,4.68
"22","N/A",FALSE,"Private room","within a few hours",0,4.75,88,4.83,4.71,1,1244,"Coyoacán","Private room",2,1,1,730,TRUE,4.71,4.71
"23","40%",TRUE,"Tiny home","within a few hours",12,4.91,280,5,4.82,1,817,"Coyoacán","Entire home/apt",3,2,3,1125,TRUE,4.82,4.82
"24","N/A",TRUE,"Entire guest suite","N/A",37,4.67,341,4.86,4.44,1,950,"Coyoacán","Entire home/apt",3,2,3,90,TRUE,4.44,4.44
"25","100%",TRUE,"Private room in home","within an hour",4,5,336,5,5,1.5,549,"La Magdalena Contreras","Private room",1,1,1,90,TRUE,5,5
"26","40%",TRUE,"Entire loft","within a few hours",9,4.78,304,5,4.78,1,672,"Coyoacán","Entire home/apt",2,1,3,1125,TRUE,4.78,4.78
"27","95%",TRUE,"Entire rental unit","within an hour",215,4.92,88,4.87,4.95,3,2049,"Benito Juárez","Entire home/apt",6,4,2,180,TRUE,4.95,4.95
"28","100%",TRUE,"Entire home","within an hour",297,4.86,194,4.71,4.91,5,3449,"Miguel Hidalgo","Entire home/apt",16,10,2,365,TRUE,4.91,4.91
"29","33%",TRUE,"Private room in townhouse","within a day",158,4.97,295,4.96,4.95,1,1543,"Cuauhtémoc","Private room",2,1,2,7,TRUE,4.95,4.95
"30","77%",TRUE,"Private room in rental unit","within an hour",90,4.59,354,4.98,4.78,1,302,"Benito Juárez","Private room",2,1,4,1125,TRUE,4.78,4.78
"31","100%",TRUE,"Private room in home","N/A",27,4.93,328,4.7,4.85,2.5,500,"Cuajimalpa de Morelos","Private room",4,4,2,365,TRUE,4.85,4.85
"32","100%",TRUE,"Entire rental unit","within an hour",38,4.63,153,4.97,4.76,1,1050,"Cuauhtémoc","Entire home/apt",4,2,5,1125,TRUE,4.76,4.76
"33","98%",TRUE,"Entire condo","within a few hours",66,4.8,214,4.66,4.77,1,672,"Benito Juárez","Entire home/apt",4,2,2,90,TRUE,4.77,4.77
"34","N/A",TRUE,"Entire loft","N/A",370,4.68,324,4.93,4.64,1.5,1434,"Cuauhtémoc","Entire home/apt",5,3,2,1125,TRUE,4.64,4.64
"35","100%",TRUE,"Entire loft","within an hour",54,4.47,356,4.43,4.28,1,1310,"Miguel Hidalgo","Entire home/apt",6,1,4,360,TRUE,4.28,4.28
"36","100%",TRUE,"Entire loft","within an hour",44,4.68,155,4.89,4.7,1.5,1037,"Cuauhtémoc","Entire home/apt",2,1,3,365,TRUE,4.7,4.7
"37","100%",TRUE,"Entire serviced apartment","within an hour",20,4.4,197,4.85,4.8,1,794,"Cuauhtémoc","Entire home/apt",4,2,2,1125,TRUE,4.8,4.8
"38","100%",TRUE,"Entire rental unit","within a few hours",101,4.65,0,4.92,4.5,1,50000,"Cuauhtémoc","Entire home/apt",2,1,14,365,TRUE,4.5,4.5
"39","100%",TRUE,"Entire loft","within a few hours",24,4.58,0,5,4.63,2,5000,"Cuauhtémoc","Entire home/apt",3,2,14,365,TRUE,4.63,4.63
"40","100%",TRUE,"Entire rental unit","within a few hours",67,4.81,26,4.96,4.67,1,1900,"Cuauhtémoc","Entire home/apt",2,1,5,1125,TRUE,4.67,4.67
"41","75%",TRUE,"Entire rental unit","within a few hours",174,4.65,305,4.85,4.59,1,870,"Cuauhtémoc","Entire home/apt",3,2,2,365,TRUE,4.59,4.59
"42","N/A",TRUE,"Entire rental unit","a few days or more",18,4.72,348,4.94,4.59,1,850,"Cuauhtémoc","Entire home/apt",2,1,180,365,TRUE,4.59,4.59
"43","100%",TRUE,"Entire rental unit","within an hour",26,4.84,365,4.96,4.88,1,817,"Coyoacán","Entire home/apt",4,2,2,1125,TRUE,4.88,4.88
"44","58%",TRUE,"Private room in home","within a few hours",127,4.67,307,4.46,4.8,1,402,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.8,4.8
"45","100%",TRUE,"Entire rental unit","within a few hours",40,4.9,363,4.88,4.98,2,2800,"Benito Juárez","Entire home/apt",4,2,30,120,TRUE,4.98,4.98
"46","33%",TRUE,"Private room in rental unit","N/A",9,5,269,4.89,4.78,1,480,"Benito Juárez","Private room",2,NA,2,1125,TRUE,4.78,4.78
"47","0%",TRUE,"Entire rental unit","N/A",27,4.31,363,4.96,4.42,1,1200,"Cuauhtémoc","Entire home/apt",2,1,3,180,TRUE,4.42,4.42
"48","97%",TRUE,"Entire rental unit","within an hour",42,4.86,155,4.95,4.9,1,788,"Cuauhtémoc","Entire home/apt",2,2,7,1125,TRUE,4.9,4.9
"49","94%",TRUE,"Entire home","within an hour",4,4.25,362,4.5,4.25,2.5,4714,"Álvaro Obregón","Entire home/apt",6,3,15,120,TRUE,4.25,4.25
"50","98%",TRUE,"Entire rental unit","within an hour",335,4.85,361,4.88,4.81,1,1017,"Cuauhtémoc","Entire home/apt",3,2,1,90,TRUE,4.81,4.81
"51","98%",TRUE,"Entire rental unit","within an hour",249,4.88,365,4.89,4.84,1,900,"Cuauhtémoc","Entire home/apt",2,1,1,90,TRUE,4.84,4.84
"52","81%",TRUE,"Entire rental unit","within a few hours",99,4.96,313,4.99,4.94,1,545,"Cuauhtémoc","Entire home/apt",1,1,3,30,TRUE,4.94,4.94
"53","0%",TRUE,"Entire rental unit","within a day",136,4.84,211,4.97,4.81,2,2269,"Cuauhtémoc","Entire home/apt",6,4,2,1125,TRUE,4.81,4.81
"54","87%",TRUE,"Room in serviced apartment","within an hour",31,4.94,332,4.97,4.97,1,1006,"Cuauhtémoc","Hotel room",2,1,2,730,TRUE,4.97,4.97
"55","100%",TRUE,"Entire loft","within an hour",253,4.91,326,4.9,4.86,1,1880,"Cuauhtémoc","Entire home/apt",2,2,7,1125,TRUE,4.86,4.86
"56","87%",TRUE,"Room in serviced apartment","within an hour",49,4.92,350,5,4.9,1,908,"Cuauhtémoc","Hotel room",2,1,2,730,TRUE,4.9,4.9
"57","87%",TRUE,"Entire serviced apartment","within an hour",23,4.91,272,4.96,4.83,1,908,"Cuauhtémoc","Entire home/apt",2,1,2,730,TRUE,4.83,4.83
"58","100%",TRUE,"Private room in rental unit","within an hour",20,4.32,365,4.68,4.21,1,591,"Cuauhtémoc","Private room",2,2,5,1825,TRUE,4.21,4.21
"59","100%",TRUE,"Entire home","within an hour",319,4.89,194,4.78,4.91,4.5,3014,"Miguel Hidalgo","Entire home/apt",14,10,2,365,TRUE,4.91,4.91
"60","89%",TRUE,"Private room in rental unit","within a few hours",20,4.9,247,5,4.9,1.5,726,"Miguel Hidalgo","Private room",2,1,15,1125,TRUE,4.9,4.9
"61","100%",TRUE,"Entire rental unit","within a few hours",355,4.76,127,4.94,4.81,1,1154,"Cuauhtémoc","Entire home/apt",3,1,5,1125,TRUE,4.81,4.81
"62","N/A",FALSE,"Entire rental unit","N/A",0,4.75,0,4.83,4.71,1,1815,"Iztacalco","Entire home/apt",2,1,7,365,FALSE,4.71,4.71
"63","87%",TRUE,"Room in serviced apartment","within an hour",22,4.95,356,4.95,4.95,1,908,"Cuauhtémoc","Hotel room",2,1,2,730,TRUE,4.95,4.95
"64","58%",TRUE,"Entire home","within a few hours",237,4.8,266,4.43,4.79,5.5,2561,"Cuauhtémoc","Entire home/apt",16,16,1,90,FALSE,4.79,4.79
"65","60%",TRUE,"Entire rental unit","within a few hours",294,4.56,313,4.9,4.63,1,1000,"Cuauhtémoc","Entire home/apt",4,2,15,1125,TRUE,4.63,4.63
"66","91%",TRUE,"Entire rental unit","within an hour",54,4.94,330,4.92,4.89,1,1532,"Cuauhtémoc","Entire home/apt",2,2,3,48,TRUE,4.89,4.89
"67","86%",TRUE,"Room in serviced apartment","within an hour",7,5,287,5,4.86,1,3162,"Cuauhtémoc","Hotel room",3,2,1,365,TRUE,4.86,4.86
"68","100%",TRUE,"Entire guest suite","within an hour",389,4.65,334,4.95,4.7,1,726,"Cuauhtémoc","Entire home/apt",2,1,1,1125,TRUE,4.7,4.7
"69","0%",FALSE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,545,"Benito Juárez","Private room",1,1,2,14,TRUE,4.71,4.71
"70","92%",TRUE,"Private room in rental unit","within an hour",223,4.87,336,4.94,4.77,1,699,"Miguel Hidalgo","Private room",2,1,7,1125,TRUE,4.77,4.77
"71","0%",FALSE,"Entire rental unit","N/A",119,4.88,0,4.9,4.8,2,1362,"Cuauhtémoc","Entire home/apt",4,2,3,180,TRUE,4.8,4.8
"72","75%",TRUE,"Entire rental unit","within a few hours",189,4.6,296,4.85,4.64,1,1200,"Cuauhtémoc","Entire home/apt",3,2,2,1125,TRUE,4.64,4.64
"73","100%",TRUE,"Entire serviced apartment","within an hour",147,4.71,188,4.44,4.73,1,796,"Miguel Hidalgo","Entire home/apt",4,3,2,1125,TRUE,4.73,4.73
"74","85%",TRUE,"Entire rental unit","within a few hours",1,5,0,5,5,1,2269,"Cuauhtémoc","Entire home/apt",2,1,1,1125,TRUE,5,5
"75","100%",TRUE,"Tiny home","within an hour",491,4.92,312,4.93,4.79,1,1556,"Cuauhtémoc","Entire home/apt",3,1,3,1125,TRUE,4.79,4.79
"76","100%",TRUE,"Entire rental unit","within an hour",46,4.73,167,4.44,4.73,2,545,"Miguel Hidalgo","Entire home/apt",6,3,3,1125,TRUE,4.73,4.73
"77","0%",FALSE,"Private room in condo","within a day",107,4.85,162,4.93,4.78,1,457,"Cuauhtémoc","Private room",1,1,4,10,TRUE,4.78,4.78
"78","100%",TRUE,"Entire loft","within an hour",274,4.82,288,4.93,4.88,1.5,1448,"Cuauhtémoc","Entire home/apt",5,4,2,1125,TRUE,4.88,4.88
"79","100%",TRUE,"Private room in home","within an hour",204,4.83,120,4.74,4.84,1,327,"Coyoacán","Private room",2,1,2,160,TRUE,4.84,4.84
"80","100%",TRUE,"Entire condo","within an hour",428,4.92,313,4.96,4.87,1,1362,"Cuauhtémoc","Entire home/apt",4,2,2,1125,TRUE,4.87,4.87
"81","100%",TRUE,"Entire home","within an hour",71,4.96,179,4.97,4.91,2.5,1949,"Coyoacán","Entire home/apt",6,2,2,200,TRUE,4.91,4.91
"82","93%",TRUE,"Private room in rental unit","within an hour",132,4.72,365,4.87,4.75,1,713,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.75,4.75
"83","71%",TRUE,"Entire home","within an hour",20,5,331,4.95,4.68,4.5,6354,"Álvaro Obregón","Entire home/apt",6,4,7,90,TRUE,4.68,4.68
"84","100%",TRUE,"Private room in home","within an hour",51,4.9,253,4.94,4.86,1,327,"Coyoacán","Private room",1,1,2,200,TRUE,4.86,4.86
"85","100%",TRUE,"Private room in condo","within an hour",120,4.8,90,4.89,4.81,1,529,"Cuauhtémoc","Private room",2,1,3,31,TRUE,4.81,4.81
"86","100%",TRUE,"Private room in home","within an hour",17,4.76,0,4.56,4.75,1,272,"Tlalpan","Private room",2,1,2,1125,TRUE,4.75,4.75
"87","88%",TRUE,"Private room in rental unit","within a day",13,4.23,114,4.92,4.62,1,450,"Coyoacán","Private room",1,1,1,90,TRUE,4.62,4.62
"88","100%",TRUE,"Entire rental unit","N/A",337,4.84,184,4.91,4.81,1,1398,"Cuauhtémoc","Entire home/apt",2,1,3,1125,TRUE,4.81,4.81
"89","N/A",FALSE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,1006,"Cuauhtémoc","Private room",1,1,5,180,TRUE,4.71,4.71
"90","100%",TRUE,"Private room in condo","within a few hours",28,4.96,364,4.93,4.71,1,896,"Cuauhtémoc","Private room",1,1,2,1125,TRUE,4.71,4.71
"91","86%",TRUE,"Private room in guest suite","within a day",152,4.97,292,4.97,4.94,1,1036,"Coyoacán","Private room",2,1,2,365,TRUE,4.94,4.94
"92","100%",TRUE,"Private room in rental unit","N/A",2,5,364,5,5,1,500,"Miguel Hidalgo","Private room",2,1,3,28,TRUE,5,5
"93","99%",TRUE,"Entire rental unit","within an hour",35,4.91,344,4.94,4.88,2,1452,"Cuauhtémoc","Entire home/apt",4,2,2,1125,TRUE,4.88,4.88
"94","88%",TRUE,"Private room in rental unit","within a day",17,4.75,365,4.88,4.82,1,400,"Coyoacán","Private room",1,1,1,120,TRUE,4.82,4.82
"95","100%",TRUE,"Entire rental unit","within an hour",217,4.88,162,4.99,4.87,1,1400,"Cuauhtémoc","Entire home/apt",4,2,1,1125,TRUE,4.87,4.87
"96","99%",TRUE,"Entire loft","within an hour",418,4.51,142,4.76,4.47,1,615,"Cuauhtémoc","Entire home/apt",4,2,1,22,TRUE,4.47,4.47
"97","46%",TRUE,"Private room in bed and breakfast","within a day",51,4.73,365,4.98,4.47,6,14143,"Cuauhtémoc","Private room",14,10,1,14,TRUE,4.47,4.47
"98","92%",TRUE,"Private room in rental unit","within an hour",37,4.84,362,4.89,4.89,1,450,"Coyoacán","Private room",1,1,1,13,TRUE,4.89,4.89
"99","77%",TRUE,"Entire rental unit","within a few hours",27,4.62,284,4.88,4.69,2,1250,"Benito Juárez","Entire home/apt",3,2,2,1125,TRUE,4.69,4.69
"100","82%",TRUE,"Private room in rental unit","within a day",46,4.91,348,4.76,4.82,1,450,"Miguel Hidalgo","Private room",2,1,2,1125,TRUE,4.82,4.82
"101","77%",TRUE,"Private room in rental unit","within a few hours",9,5,357,4.89,5,1,385,"Benito Juárez","Private room",3,1,2,1125,TRUE,5,5
"102","0%",TRUE,"Private room in rental unit","within a day",0,4.75,364,4.83,4.71,1,700,"Miguel Hidalgo","Private room",2,1,1,7,TRUE,4.71,4.71
"103","85%",TRUE,"Private room in rental unit","within an hour",16,4.94,363,4.94,4.69,1,295,"Coyoacán","Private room",2,1,4,1125,TRUE,4.69,4.69
"104","100%",TRUE,"Entire rental unit","within an hour",17,4.76,207,4.88,4.35,1,1180,"Cuauhtémoc","Entire home/apt",3,1,3,60,TRUE,4.35,4.35
"105","100%",TRUE,"Entire home","within a day",6,5,90,5,5,3.5,4481,"Coyoacán","Entire home/apt",6,3,10,21,TRUE,5,5
"106","99%",TRUE,"Entire rental unit","within an hour",24,4.83,360,4.75,4.71,1,1797,"Cuauhtémoc","Entire home/apt",4,2,3,90,TRUE,4.71,4.71
"107","100%",TRUE,"Private room in home","within an hour",134,4.6,80,4.95,4.86,1,700,"Cuauhtémoc","Private room",2,2,3,28,TRUE,4.86,4.86
"108","N/A",FALSE,"Private room in rental unit","N/A",17,5,137,4.56,4.81,1,381,"Benito Juárez","Private room",2,1,3,1125,TRUE,4.81,4.81
"109","100%",TRUE,"Private room in home","within a day",21,4.89,2,4.95,4.68,1,908,"Coyoacán","Private room",2,1,5,21,TRUE,4.68,4.68
"110","100%",TRUE,"Entire condo","within a few hours",22,4.77,72,5,4.48,1,2500,"Cuauhtémoc","Entire home/apt",2,1,5,1125,TRUE,4.48,4.48
"111","0%",TRUE,"Private room in rental unit","N/A",53,4.94,88,4.96,4.8,1,599,"Cuauhtémoc","Private room",2,2,3,15,TRUE,4.8,4.8
"112","0%",FALSE,"Private room in rental unit","N/A",2,1,365,1,1.5,1,457,"Cuauhtémoc","Private room",1,1,1,1125,TRUE,1.5,1.5
"113","99%",TRUE,"Entire loft","within an hour",85,4.79,30,4.91,4.81,2,1466,"Cuauhtémoc","Entire home/apt",5,2,4,60,TRUE,4.81,4.81
"114","93%",TRUE,"Entire rental unit","within an hour",257,4.94,234,4.96,4.87,1.5,2033,"Cuauhtémoc","Entire home/apt",2,1,2,1125,TRUE,4.87,4.87
"115","100%",TRUE,"Private room in home","within an hour",2,5,362,5,5,1,732,"La Magdalena Contreras","Private room",1,1,3,90,TRUE,5,5
"116","99%",TRUE,"Entire rental unit","within an hour",76,4.67,298,4.88,4.41,1,685,"Cuauhtémoc","Entire home/apt",2,2,1,1125,TRUE,4.41,4.41
"117","50%",TRUE,"Entire rental unit","within a day",23,4.9,11,5,4.76,1.5,2559,"Miguel Hidalgo","Entire home/apt",4,2,6,45,TRUE,4.76,4.76
"118","100%",TRUE,"Entire condo","within a day",19,4.74,121,4.79,4.89,2,817,"Benito Juárez","Entire home/apt",2,1,7,35,TRUE,4.89,4.89
"119","64%",TRUE,"Entire rental unit","within a few hours",8,3.5,327,3.25,3.5,2,1071,"Cuauhtémoc","Entire home/apt",4,NA,4,1125,TRUE,3.5,3.5
"120","100%",TRUE,"Entire rental unit","within an hour",34,4.88,333,4.91,4.91,1,876,"Cuauhtémoc","Entire home/apt",2,2,1,365,TRUE,4.91,4.91
"121","74%",TRUE,"Entire loft","within an hour",43,4.78,356,4.76,4.68,1,1489,"Miguel Hidalgo","Entire home/apt",1,1,2,1125,TRUE,4.68,4.68
"122","81%",TRUE,"Private room in rental unit","within a few hours",0,4.75,116,4.83,4.71,1,1900,"Miguel Hidalgo","Private room",1,1,7,1125,TRUE,4.71,4.71
"123","N/A",TRUE,"Entire condo","N/A",15,4.87,48,4.67,5,1,708,"Miguel Hidalgo","Entire home/apt",1,1,28,365,TRUE,5,5
"124","92%",TRUE,"Entire loft","within an hour",147,4.76,365,4.87,4.67,1,1350,"Cuauhtémoc","Entire home/apt",2,2,2,60,TRUE,4.67,4.67
"125","81%",TRUE,"Entire rental unit","within a few hours",25,4.96,207,4.88,4.88,3.5,3420,"Cuauhtémoc","Entire home/apt",7,6,3,30,TRUE,4.88,4.88
"126","81%",TRUE,"Entire condo","within a few hours",2,5,250,5,5,2.5,5820,"Cuauhtémoc","Entire home/apt",6,5,3,21,TRUE,5,5
"127","86%",TRUE,"Private room in home","a few days or more",49,4.77,287,4.51,4.79,1,220,"Coyoacán","Private room",1,2,5,1125,TRUE,4.79,4.79
"128","95%",TRUE,"Entire rental unit","within an hour",97,4.84,184,4.98,4.86,1,1237,"Cuauhtémoc","Entire home/apt",4,2,5,95,TRUE,4.86,4.86
"129","93%",TRUE,"Entire rental unit","within an hour",145,4.92,84,4.89,4.81,1,1947,"Cuauhtémoc","Entire home/apt",4,2,2,1000,TRUE,4.81,4.81
"130","N/A",FALSE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,350,"Benito Juárez","Private room",1,1,30,150,TRUE,4.71,4.71
"131","60%",TRUE,"Entire rental unit","within a day",27,4.63,256,4.7,4.44,1,878,"Miguel Hidalgo","Entire home/apt",2,1,6,1125,TRUE,4.44,4.44
"132","100%",TRUE,"Private room in guest suite","within an hour",213,4.66,362,4.93,4.6,1,550,"Venustiano Carranza","Private room",2,1,1,1125,TRUE,4.6,4.6
"133","86%",TRUE,"Private room in guest suite","within a day",66,4.91,336,4.94,4.79,1,1036,"Coyoacán","Private room",2,1,2,365,TRUE,4.79,4.79
"134","99%",TRUE,"Entire rental unit","within an hour",105,4.84,318,4.9,4.71,1.5,3089,"Miguel Hidalgo","Entire home/apt",2,1,2,1125,TRUE,4.71,4.71
"135","100%",TRUE,"Private room in home","within an hour",114,5,252,5,4.94,1,1271,"Cuauhtémoc","Private room",2,1,2,30,TRUE,4.94,4.94
"136","97%",TRUE,"Entire rental unit","within an hour",26,5,347,5,4.91,2,2723,"Cuauhtémoc","Entire home/apt",5,2,30,365,TRUE,4.91,4.91
"137","100%",TRUE,"Entire rental unit","within an hour",287,4.95,204,4.96,4.84,1,2934,"Cuauhtémoc","Entire home/apt",4,3,2,90,TRUE,4.84,4.84
"138","99%",TRUE,"Entire rental unit","within an hour",319,4.95,329,5,4.87,1,2814,"Cuauhtémoc","Entire home/apt",2,1,2,1125,TRUE,4.87,4.87
"139","100%",TRUE,"Private room in condo","within an hour",47,4.74,176,4.98,4.83,1,850,"Miguel Hidalgo","Private room",2,1,2,28,TRUE,4.83,4.83
"140","73%",TRUE,"Private room in rental unit","within a few hours",27,4.85,331,4.8,4.96,1,240,"Cuauhtémoc","Private room",1,1,7,90,TRUE,4.96,4.96
"141","100%",TRUE,"Private room in home","within an hour",1,5,209,5,5,1,400,"Coyoacán","Private room",2,1,3,1125,TRUE,5,5
"142","N/A",FALSE,"Private room in rental unit","N/A",26,5,139,4.54,4.77,1,381,"Benito Juárez","Private room",2,1,3,1125,TRUE,4.77,4.77
"143","86%",TRUE,"Room in serviced apartment","within an hour",1,5,16,5,4,1,2808,"Cuauhtémoc","Hotel room",3,1,1,365,TRUE,4,4
"144","91%",TRUE,"Entire rental unit","within an hour",175,4.94,326,4.98,4.92,2,2941,"Cuauhtémoc","Entire home/apt",4,2,2,48,TRUE,4.92,4.92
"145","63%",TRUE,"Entire rental unit","within a few hours",30,4.79,365,4.87,4.6,1,1216,"Coyoacán","Entire home/apt",3,2,3,1125,TRUE,4.6,4.6
"146","0%",TRUE,"Private room in rental unit","N/A",3,5,365,5,4.33,1,250,"Benito Juárez","Private room",1,1,5,1125,TRUE,4.33,4.33
"147","67%",TRUE,"Entire rental unit","N/A",38,4.17,152,4.67,4.42,1,420,"Benito Juárez","Entire home/apt",2,1,20,150,TRUE,4.42,4.42
"148","N/A",TRUE,"Entire guesthouse","N/A",62,4.79,333,4.94,4.69,1,900,"Coyoacán","Entire home/apt",2,1,3,1125,TRUE,4.69,4.69
"149","100%",FALSE,"Private room in rental unit","N/A",1,5,335,5,5,1,566,"Miguel Hidalgo","Private room",2,1,2,1125,TRUE,5,5
"150","58%",TRUE,"Entire home","within a few hours",164,4.75,276,4.48,4.8,5.5,2561,"Cuauhtémoc","Entire home/apt",16,16,1,1125,TRUE,4.8,4.8
"151","100%",TRUE,"Private room in guesthouse","within an hour",42,4.8,364,4.73,4.8,1,545,"Coyoacán","Private room",2,1,2,1125,TRUE,4.8,4.8
"152","100%",TRUE,"Private room in rental unit","within an hour",17,4.5,87,4.88,4.75,1,600,"Cuauhtémoc","Private room",2,1,5,1825,TRUE,4.75,4.75
"153","100%",TRUE,"Entire rental unit","N/A",95,4.77,179,4.97,4.77,3.5,3068,"Cuauhtémoc","Entire home/apt",4,3,500,1000,TRUE,4.77,4.77
"154","100%",TRUE,"Entire condo","within an hour",78,4.78,200,4.82,4.72,2,1362,"Cuauhtémoc","Entire home/apt",4,2,2,60,TRUE,4.72,4.72
"155","64%",TRUE,"Entire loft","within an hour",129,4.88,209,4.84,4.78,1,980,"Benito Juárez","Entire home/apt",2,1,4,1125,TRUE,4.78,4.78
"156","100%",TRUE,"Entire rental unit","within an hour",322,4.95,146,4.95,4.85,1,1685,"Cuauhtémoc","Entire home/apt",2,1,3,1125,TRUE,4.85,4.85
"157","77%",TRUE,"Private room in rental unit","within a few hours",28,4.78,354,4.85,4.63,1,290,"Benito Juárez","Private room",1,1,2,1125,TRUE,4.63,4.63
"158","96%",TRUE,"Entire rental unit","within an hour",101,4.78,358,4.88,4.72,2,1346,"Cuauhtémoc","Entire home/apt",4,2,4,1125,TRUE,4.72,4.72
"159","0%",TRUE,"Private room in rental unit","within an hour",10,4.8,62,4.6,4.9,1,540,"Miguel Hidalgo","Private room",1,2,5,1125,TRUE,4.9,4.9
"160","94%",TRUE,"Entire serviced apartment","within an hour",215,4.96,178,4.96,4.9,1.5,2564,"Cuauhtémoc","Entire home/apt",2,1,1,250,TRUE,4.9,4.9
"161","0%",TRUE,"Private room in rental unit","within a few hours",6,4.83,81,4.5,4.67,1,366,"Gustavo A. Madero","Private room",2,1,3,365,TRUE,4.67,4.67
"162","0%",TRUE,"Entire rental unit","within a day",24,4.68,181,4.59,4.59,1.5,1362,"Cuauhtémoc","Entire home/apt",2,2,4,365,TRUE,4.59,4.59
"163","99%",TRUE,"Entire rental unit","within an hour",34,4.7,332,4.61,4.73,1,594,"Cuauhtémoc","Entire home/apt",6,2,3,1125,TRUE,4.73,4.73
"164","N/A",TRUE,"Entire home","within a few hours",12,4.17,332,4.42,4.42,1,549,"Xochimilco","Entire home/apt",5,4,21,365,TRUE,4.42,4.42
"165","100%",TRUE,"Entire loft","within an hour",91,4.89,11,4.9,4.94,2,1109,"Miguel Hidalgo","Entire home/apt",2,2,5,1125,TRUE,4.94,4.94
"166","91%",TRUE,"Private room in home","within a day",2,4.5,0,5,5,1,220,"Benito Juárez","Private room",1,1,15,1125,TRUE,5,5
