,host_acceptance_rate,host_identity_verified,property_type,host_response_time,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,neighbourhood_cleansed,room_type,accommodates,beds,minimum_nights,maximum_nights,has_availability,review_scores_checkin,review_scores_communication
1,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,1,800.00,Vidigal,Entire home/apt,6,2,10,30,FALSE,4.68,4.68
2,N/A,FALSE,Shared room in home,N/A,1,4,0,4,5,1,407.00,Rio Comprido,Shared room,4,2,1,1125,FALSE,5,5
3,28%,TRUE,Entire rental unit,within an hour,1,4.73,362,4.86,4.68,1,334.00,Ipanema,Entire home/apt,3,1,3,1125,TRUE,4.68,4.68
4,92%,TRUE,Entire rental unit,within an hour,3,3.67,0,4.33,3.67,1,130.00,Botafogo,Entire home/apt,2,1,20,90,TRUE,3.67,3.67
5,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,6222.00,Barra da Tijuca,Entire home/apt,6,3,1,1125,FALSE,4.68,4.68
6,N/A,TRUE,Entire condo,N/A,0,4.73,89,4.86,4.68,0,140.00,Guaratiba,Entire home/apt,1,4,2,365,TRUE,4.68,4.68
7,0%,TRUE,Entire rental unit,N/A,15,4.93,0,4.4,4.67,1,383.00,Centro,Entire home/apt,2,1,5,180,TRUE,4.67,4.67
8,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,6,2000.00,Maracanã,Entire home/apt,12,12,10,20,FALSE,4.68,4.68
9,28%,TRUE,Entire rental unit,within an hour,0,4.73,365,4.86,4.68,2,1435.00,Ipanema,Entire home/apt,6,4,2,1125,TRUE,4.68,4.68
10,N/A,FALSE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,2,300.00,Centro,Private room,2,2,3,15,FALSE,4.68,4.68
11,0%,FALSE,Private room in home,N/A,0,4.73,0,4.86,4.68,1,200.00,Copacabana,Private room,2,1,3,30,FALSE,4.68,4.68
12,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1.5,1436.00,Copacabana,Entire home/apt,3,2,1,1125,FALSE,4.68,4.68
13,67%,TRUE,Entire rental unit,within a day,0,4.73,364,4.86,4.68,2,350.00,Recreio dos Bandeirantes,Entire home/apt,6,2,10,1125,TRUE,4.68,4.68
14,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,1,900.00,Campinho,Entire home/apt,4,4,2,7,FALSE,4.68,4.68
15,100%,TRUE,Entire rental unit,within an hour,0,4.73,306,4.86,4.68,1,135.00,Centro,Entire home/apt,2,1,1,30,FALSE,4.68,4.68
16,28%,TRUE,Private room in hostel,within an hour,0,4.73,365,4.86,4.68,1,383.00,Copacabana,Private room,2,NA,1,1125,TRUE,4.68,4.68
17,73%,TRUE,Private room in home,within a few hours,18,4.36,365,4.43,4.29,1,277.00,Botafogo,Private room,2,2,8,365,TRUE,4.29,4.29
18,100%,TRUE,Entire loft,within an hour,106,4.71,76,4.88,4.59,1,191.00,Copacabana,Entire home/apt,4,2,3,10,TRUE,4.59,4.59
19,N/A,TRUE,Entire rental unit,N/A,0,4.73,364,4.86,4.68,2,900.00,Centro,Entire home/apt,4,2,2,365,TRUE,4.68,4.68
20,94%,FALSE,Entire rental unit,within an hour,0,4.73,115,4.86,4.68,2,457.00,Leme,Entire home/apt,3,2,2,1125,TRUE,4.68,4.68
21,N/A,FALSE,Entire rental unit,a few days or more,0,4.73,0,4.86,4.68,1,766.00,Botafogo,Entire home/apt,3,3,1,1125,FALSE,4.68,4.68
22,0%,FALSE,Private room in rental unit,N/A,0,4.73,364,4.86,4.68,1,703.00,Lagoa,Private room,2,2,1,365,TRUE,4.68,4.68
23,99%,TRUE,Entire rental unit,within a few hours,24,4.75,308,4.96,4.71,2,785.00,Copacabana,Entire home/apt,5,3,3,1125,TRUE,4.71,4.71
24,100%,FALSE,Shared room in rental unit,within an hour,0,4.73,76,4.86,4.68,1,65.00,Flamengo,Shared room,1,1,1,1125,TRUE,4.68,4.68
25,100%,TRUE,Entire loft,within an hour,59,4.95,86,4.86,4.81,1,216.00,Copacabana,Entire home/apt,4,2,2,20,TRUE,4.81,4.81
26,N/A,FALSE,Entire rental unit,N/A,2,4.5,0,5,4.5,1,2393.00,Ipanema,Entire home/apt,4,2,1,1125,FALSE,4.5,4.5
27,99%,TRUE,Private room in rental unit,within an hour,285,4.78,170,4.96,4.85,1,132.00,Ipanema,Private room,2,1,2,1125,TRUE,4.85,4.85
28,84%,TRUE,Entire rental unit,within a few hours,1,3,365,5,3,1,850.00,Santa Teresa,Entire home/apt,4,2,5,1125,TRUE,3,3
29,100%,TRUE,Entire rental unit,within an hour,11,4.45,181,4.91,4.64,2,284.00,Leme,Entire home/apt,8,8,1,30,TRUE,4.64,4.64
30,86%,TRUE,Entire home,within an hour,14,5,313,5,5,1,150.00,Centro,Entire home/apt,4,2,2,15,TRUE,5,5
31,0%,TRUE,Entire rental unit,within a day,1,4.73,4,4.86,4.68,1,180.00,Botafogo,Entire home/apt,2,2,5,1125,TRUE,4.68,4.68
32,100%,TRUE,Entire rental unit,N/A,4,5,6,5,4.75,1.5,329.00,Copacabana,Entire home/apt,4,2,3,365,TRUE,4.75,4.75
33,80%,TRUE,Entire rental unit,within a day,25,4.64,295,4.76,4.72,2,215.00,Copacabana,Entire home/apt,5,2,1,365,TRUE,4.72,4.72
34,60%,TRUE,Entire villa,within a few hours,24,4.96,60,4.96,4.75,1,110.00,Botafogo,Entire home/apt,1,1,2,60,TRUE,4.75,4.75
35,56%,TRUE,Private room in condo,within a few hours,0,4.73,365,4.86,4.68,1,400.00,Jacarepaguá,Private room,2,1,5,365,TRUE,4.68,4.68
36,92%,TRUE,Entire rental unit,within an hour,1,5,30,5,5,2,700.00,Ipanema,Entire home/apt,4,2,15,365,TRUE,5,5
37,100%,TRUE,Entire rental unit,within an hour,84,4.89,144,4.9,4.85,1,253.00,Copacabana,Entire home/apt,4,2,3,1125,TRUE,4.85,4.85
38,30%,TRUE,Private room in rental unit,within a day,3,5,365,5,5,1,200.00,Copacabana,Private room,2,1,2,60,TRUE,5,5
39,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,7,3829.00,Barra da Tijuca,Entire home/apt,10,7,15,30,FALSE,4.68,4.68
40,43%,TRUE,Entire rental unit,within an hour,0,4.73,301,4.86,4.68,1,265.00,Leblon,Entire home/apt,3,NA,30,30,TRUE,4.68,4.68
41,N/A,TRUE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,1200.00,Jacarepaguá,Entire home/apt,5,5,1,1125,TRUE,4.68,4.68
42,100%,TRUE,Entire rental unit,within a few hours,57,4.93,65,5,4.89,1,163.00,Leme,Entire home/apt,2,1,3,1125,TRUE,4.89,4.89
43,N/A,FALSE,Entire rental unit,N/A,1,4.73,0,4.86,4.68,1,300.00,Leblon,Entire home/apt,4,2,30,90,FALSE,4.68,4.68
44,N/A,TRUE,Entire home,N/A,0,4.73,363,4.86,4.68,1,60.00,Taquara,Entire home/apt,4,2,30,1125,TRUE,4.68,4.68
45,N/A,TRUE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1,695.00,Camorim,Entire home/apt,2,2,2,365,TRUE,4.68,4.68
46,N/A,TRUE,Entire home,N/A,0,4.73,179,4.86,4.68,1,200.00,Campo Grande,Entire home/apt,2,NA,4,30,TRUE,4.68,4.68
47,N/A,FALSE,Private room in home,N/A,0,4.73,0,4.86,4.68,1,700.00,Barra da Tijuca,Private room,2,1,1,1125,FALSE,4.68,4.68
48,100%,TRUE,Entire rental unit,N/A,0,4.73,364,4.86,4.68,2.5,1397.00,Barra da Tijuca,Entire home/apt,4,2,1,365,TRUE,4.68,4.68
49,N/A,FALSE,Private room in rental unit,N/A,0,4.73,362,4.86,4.68,1,50.00,Tijuca,Private room,2,1,90,365,TRUE,4.68,4.68
50,N/A,FALSE,Private room in tiny home,N/A,0,4.73,0,4.86,4.68,1,200.00,Rio Comprido,Private room,1,1,3,3,FALSE,4.68,4.68
51,N/A,TRUE,Entire rental unit,N/A,0,4.73,362,4.86,4.68,2,900.00,Jacarepaguá,Entire home/apt,4,2,15,30,TRUE,4.68,4.68
52,N/A,FALSE,Room in hotel,N/A,0,4.73,0,4.86,4.68,1,1001.00,Barra da Tijuca,Private room,2,1,1,1125,FALSE,4.68,4.68
53,N/A,TRUE,Entire rental unit,N/A,4,4.75,0,4.75,5,1,159.00,Santa Teresa,Entire home/apt,4,2,3,30,TRUE,5,5
54,N/A,FALSE,Private room in home,N/A,0,4.73,0,4.86,4.68,2,479.00,Tijuca,Private room,3,1,1,1125,FALSE,4.68,4.68
55,100%,TRUE,Entire rental unit,within an hour,10,4.8,0,5,4.9,2.5,280.00,Copacabana,Entire home/apt,4,2,4,1125,TRUE,4.9,4.9
56,0%,FALSE,Entire condo,a few days or more,0,4.73,0,4.86,4.68,1,718.00,Catete,Entire home/apt,3,3,1,1125,FALSE,4.68,4.68
57,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1,3000.00,Copacabana,Entire home/apt,4,2,5,7,FALSE,4.68,4.68
58,N/A,TRUE,Entire guesthouse,N/A,0,4.73,364,4.86,4.68,1,680.00,Cidade de Deus,Entire home/apt,2,1,1,365,TRUE,4.68,4.68
59,100%,TRUE,Entire rental unit,within an hour,5,4.4,1,4.8,4.4,1,309.00,Copacabana,Entire home/apt,3,1,28,1125,TRUE,4.4,4.4
60,93%,TRUE,Private room in home,within a few hours,3,5,180,5,5,1,350.00,Freguesia (Jacarepaguá),Private room,2,1,2,1125,TRUE,5,5
61,96%,TRUE,Entire rental unit,within an hour,1,5,86,5,5,1,184.00,Centro,Entire home/apt,2,1,1,365,TRUE,5,5
62,N/A,TRUE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,664.00,Leblon,Entire home/apt,6,5,1,365,TRUE,4.68,4.68
63,98%,TRUE,Entire rental unit,within an hour,0,4.73,219,4.86,4.68,1,207.00,Copacabana,Entire home/apt,5,3,1,1125,TRUE,4.68,4.68
64,96%,TRUE,Shared room in rental unit,within a day,1,5,365,5,5,1,80.00,Vila Isabel,Shared room,3,3,1,365,TRUE,5,5
65,83%,TRUE,Private room in rental unit,N/A,0,4.73,269,4.86,4.68,1,950.00,Jacarepaguá,Private room,2,1,1,2,TRUE,4.68,4.68
66,96%,TRUE,Entire rental unit,within an hour,3,4.67,361,4.67,3.67,1,184.00,Centro,Entire home/apt,2,1,1,365,TRUE,3.67,3.67
67,N/A,TRUE,Private room in rental unit,a few days or more,0,4.73,364,4.86,4.68,1,105.00,Copacabana,Private room,2,1,1,365,TRUE,4.68,4.68
68,28%,TRUE,Entire rental unit,within an hour,0,4.73,365,4.86,4.68,2,956.00,Ipanema,Entire home/apt,4,2,1,1125,TRUE,4.68,4.68
69,100%,FALSE,Entire rental unit,N/A,12,4.67,90,4.83,4.75,2,600.00,Barra da Tijuca,Entire home/apt,2,2,4,10,TRUE,4.75,4.75
70,100%,FALSE,Entire condo,N/A,0,4.73,365,4.86,4.68,2,1232.00,Copacabana,Entire home/apt,4,2,10,30,TRUE,4.68,4.68
71,99%,TRUE,Entire rental unit,within an hour,3,5,362,5,4,1.5,654.00,Leblon,Entire home/apt,3,2,2,365,TRUE,4,4
72,0%,TRUE,Entire rental unit,a few days or more,3,5,324,5,4.67,2,920.00,Gávea,Entire home/apt,4,2,15,60,TRUE,4.67,4.67
73,99%,TRUE,Private room in rental unit,within an hour,256,5,89,4.97,4.95,1,81.00,Tijuca,Private room,2,1,1,15,TRUE,4.95,4.95
74,47%,TRUE,Entire condo,within a day,15,4.87,303,5,4.73,1,570.00,Barra da Tijuca,Entire home/apt,4,2,5,1125,TRUE,4.73,4.73
75,100%,TRUE,Entire rental unit,within an hour,0,4.73,177,4.86,4.68,1,331.00,Leblon,Entire home/apt,2,2,7,365,TRUE,4.68,4.68
76,96%,TRUE,Entire rental unit,within an hour,1,5,365,5,4,1,184.00,Centro,Entire home/apt,2,1,1,365,TRUE,4,4
77,56%,TRUE,Entire rental unit,within an hour,0,4.73,90,4.86,4.68,2,1000.00,Barra da Tijuca,Entire home/apt,5,2,2,15,TRUE,4.68,4.68
78,0%,TRUE,Private room in rental unit,N/A,3,5,179,4.67,4.67,1,1500.00,Santa Teresa,Private room,2,1,2,7,TRUE,4.67,4.67
79,60%,TRUE,Entire rental unit,within a few hours,1,5,365,5,5,1,423.00,Barra da Tijuca,Entire home/apt,4,1,2,365,TRUE,5,5
80,N/A,FALSE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,1,1000.00,Praça da Bandeira,Private room,3,3,1,1125,FALSE,4.68,4.68
81,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,1000.00,Botafogo,Entire home/apt,5,5,14,40,FALSE,4.68,4.68
82,83%,FALSE,Entire condo,within a few hours,8,4.88,360,4.88,4.88,1,270.00,Flamengo,Entire home/apt,3,2,5,365,TRUE,4.88,4.88
83,100%,TRUE,Entire rental unit,within a few hours,0,4.73,83,4.86,4.68,2,250.00,Botafogo,Entire home/apt,5,2,3,30,TRUE,4.68,4.68
84,N/A,TRUE,Entire townhouse,N/A,1,5,23,5,3,1,280.00,Flamengo,Entire home/apt,4,4,4,1125,TRUE,3,3
85,100%,TRUE,Entire condo,N/A,3,5,186,5,5,2.5,1100.00,Barra da Tijuca,Entire home/apt,6,3,1,90,TRUE,5,5
86,100%,TRUE,Entire rental unit,within an hour,2,4,155,5,4.5,1,119.00,Glória,Entire home/apt,3,1,2,365,TRUE,4.5,4.5
87,13%,TRUE,Entire rental unit,a few days or more,1,5,178,5,5,1.5,1000.00,Flamengo,Entire home/apt,4,3,2,365,TRUE,5,5
88,92%,TRUE,Private room in rental unit,within a day,2,4.5,365,4,4,1,250.00,Santa Teresa,Private room,2,1,1,1125,TRUE,4,4
89,0%,TRUE,Entire rental unit,within a day,4,5,129,5,5,1,177.00,Flamengo,Entire home/apt,3,1,7,90,TRUE,5,5
90,82%,FALSE,Private room in condo,within an hour,10,4.9,90,4.5,4.2,1,128.00,Jacarepaguá,Private room,3,3,1,1125,TRUE,4.2,4.2
91,56%,TRUE,Entire rental unit,within an hour,0,4.73,90,4.86,4.68,1,500.00,Barra da Tijuca,Entire home/apt,4,3,2,15,TRUE,4.68,4.68
92,98%,TRUE,Entire rental unit,within an hour,43,5,144,4.91,4.95,1,276.00,Flamengo,Entire home/apt,4,2,2,1125,TRUE,4.95,4.95
93,N/A,TRUE,Entire rental unit,N/A,0,4.73,89,4.86,4.68,1,2500.00,Copacabana,Entire home/apt,4,4,3,15,TRUE,4.68,4.68
94,62%,TRUE,Entire rental unit,within a day,19,4.53,25,4.79,4.63,1.5,350.00,Botafogo,Entire home/apt,9,3,1,1125,TRUE,4.63,4.63
95,77%,TRUE,Entire condo,within a few hours,5,3.4,364,4.2,3.6,1,83.00,Jacarepaguá,Entire home/apt,12,4,1,90,TRUE,3.6,3.6
96,93%,TRUE,Entire rental unit,within an hour,26,4.62,361,4.88,4.65,1,115.00,Glória,Entire home/apt,5,3,2,365,TRUE,4.65,4.65
97,83%,TRUE,Entire rental unit,within an hour,7,5,283,5,5,4,1200.00,Glória,Entire home/apt,9,6,10,150,TRUE,5,5
98,99%,TRUE,Entire loft,within an hour,122,4.65,326,4.74,4.51,1,490.00,Santa Teresa,Entire home/apt,2,1,4,1125,TRUE,4.51,4.51
99,100%,TRUE,Boat,within an hour,0,4.73,89,4.86,4.68,0,1600.00,Glória,Entire home/apt,10,1,1,1,TRUE,4.68,4.68
100,68%,TRUE,Entire rental unit,within an hour,1,4,180,5,5,1,520.00,Copacabana,Entire home/apt,4,2,5,1125,TRUE,5,5
101,90%,TRUE,Entire rental unit,within an hour,2,5,364,5,5,1,300.00,Jacarepaguá,Entire home/apt,2,2,2,365,TRUE,5,5
102,100%,FALSE,Entire rental unit,N/A,0,4.73,365,4.86,4.68,2,2000.00,Jacarepaguá,Entire home/apt,4,2,1,365,TRUE,4.68,4.68
103,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,4786.00,Ipanema,Entire home/apt,6,6,3,1125,FALSE,4.68,4.68
104,100%,TRUE,Private room in rental unit,within an hour,22,4.45,238,4.77,4.68,1,269.00,Jacarepaguá,Private room,2,1,2,1125,TRUE,4.68,4.68
105,0%,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1,1565.00,Copacabana,Entire home/apt,9,4,3,1125,FALSE,4.68,4.68
106,90%,FALSE,Entire rental unit,a few days or more,11,5,352,5,4.73,1,299.00,Copacabana,Entire home/apt,4,4,1,365,TRUE,4.73,4.73
107,100%,TRUE,Private room in home,within an hour,21,5,76,4.86,4.95,2,186.00,Laranjeiras,Private room,4,4,1,30,TRUE,4.95,4.95
108,73%,TRUE,Entire rental unit,within a few hours,0,4.73,0,4.86,4.68,1,25000.00,Copacabana,Entire home/apt,8,5,3,1125,TRUE,4.68,4.68
109,100%,TRUE,Entire rental unit,within an hour,10,4,0,4.6,4.4,1,180.00,Copacabana,Entire home/apt,2,1,5,1125,TRUE,4.4,4.4
110,N/A,TRUE,Private room in home,N/A,0,4.73,0,4.86,4.68,1,100.00,Santa Teresa,Private room,2,2,1,1125,TRUE,4.68,4.68
111,N/A,TRUE,Private room in rental unit,N/A,3,5,0,5,5,1,60.00,Praça da Bandeira,Private room,1,1,1,30,TRUE,5,5
112,88%,TRUE,Entire rental unit,within a few hours,13,4.92,305,5,5,1,180.00,Copacabana,Entire home/apt,3,2,10,1125,TRUE,5,5
113,94%,TRUE,Entire rental unit,within an hour,0,4.73,0,4.86,4.68,2,2000.00,Ipanema,Entire home/apt,4,2,5,1125,TRUE,4.68,4.68
114,67%,TRUE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,700.00,Ipanema,Entire home/apt,4,2,7,1125,TRUE,4.68,4.68
115,N/A,TRUE,Entire condo,N/A,0,4.73,0,4.86,4.68,1,550.00,Copacabana,Entire home/apt,7,3,3,365,TRUE,4.68,4.68
116,86%,TRUE,Private room in rental unit,N/A,0,4.73,364,4.86,4.68,1,220.00,Maracanã,Private room,2,1,1,1125,TRUE,4.68,4.68
117,100%,TRUE,Private room in bed and breakfast,within a day,1,5,71,5,5,1,330.00,Barra de Guaratiba,Private room,2,1,1,1125,TRUE,5,5
118,100%,TRUE,Entire rental unit,within an hour,31,4.71,112,5,4.77,1,357.00,Barra da Tijuca,Entire home/apt,4,3,3,90,TRUE,4.77,4.77
119,100%,TRUE,Private room in home,within an hour,41,5,170,4.9,4.95,1,84.00,Curicica,Private room,2,1,1,1125,TRUE,4.95,4.95
120,0%,FALSE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,1,383.00,Centro,Private room,1,1,1,1125,FALSE,4.68,4.68
121,N/A,TRUE,Private room in condo,N/A,0,4.73,365,4.86,4.68,1,500.00,Vila Isabel,Private room,2,1,3,1125,TRUE,4.68,4.68
122,50%,TRUE,Private room in rental unit,a few days or more,1,5,364,5,5,1,236.00,Del Castilho,Private room,2,1,1,365,TRUE,5,5
123,0%,TRUE,Private room in home,N/A,0,4.73,359,4.86,4.68,1,280.00,São Conrado,Private room,2,1,2,1125,TRUE,4.68,4.68
124,N/A,TRUE,Entire home,within an hour,0,4.73,364,4.86,4.68,1,60.00,Bangu,Entire home/apt,2,1,1,365,TRUE,4.68,4.68
125,100%,TRUE,Entire rental unit,N/A,3,4,114,4.33,4.67,2,500.00,Ipanema,Entire home/apt,4,3,2,365,TRUE,4.67,4.67
126,78%,TRUE,Entire rental unit,within a few hours,1,4,287,5,5,2.5,650.00,Ipanema,Entire home/apt,4,4,2,365,TRUE,5,5
127,65%,TRUE,Entire rental unit,within a few hours,22,4.73,133,4.86,4.68,2,503.00,Ipanema,Entire home/apt,6,4,3,1125,TRUE,4.68,4.68
128,97%,FALSE,Entire rental unit,within an hour,2,5,94,5,5,1,227.00,Copacabana,Entire home/apt,3,2,1,365,TRUE,5,5
129,60%,TRUE,Private room in rental unit,within an hour,1,5,329,5,5,1,459.00,São Conrado,Private room,2,1,1,365,TRUE,5,5
130,74%,TRUE,Entire rental unit,within a few hours,17,4.65,294,5,4.47,1,474.00,Ipanema,Entire home/apt,2,1,2,1125,TRUE,4.47,4.47
131,86%,TRUE,Entire rental unit,within a few hours,112,4.21,162,4.89,4.56,3,321.00,Copacabana,Entire home/apt,7,5,2,60,TRUE,4.56,4.56
132,0%,TRUE,Entire serviced apartment,a few days or more,3,5,88,5,5,2,1200.00,Ipanema,Entire home/apt,4,3,3,1125,TRUE,5,5
133,98%,TRUE,Entire rental unit,within an hour,104,4.81,140,4.91,4.84,1.5,333.00,Ipanema,Entire home/apt,4,2,4,89,TRUE,4.84,4.84
134,100%,TRUE,Entire condo,within an hour,4,5,353,5,5,1,521.00,Copacabana,Entire home/apt,2,1,2,15,TRUE,5,5
135,85%,TRUE,Entire rental unit,within an hour,2,5,360,5,5,2,600.00,Botafogo,Entire home/apt,2,1,1,365,TRUE,5,5
136,62%,TRUE,Private room in rental unit,within a day,3,5,176,4.67,4.67,2,100.00,Ipanema,Private room,1,1,4,90,TRUE,4.67,4.67
137,66%,TRUE,Entire rental unit,within a few hours,87,4.89,172,4.95,4.82,1,266.00,Copacabana,Entire home/apt,4,4,3,1125,TRUE,4.82,4.82
138,0%,FALSE,Private room in rental unit,within a day,33,5,365,5,4.94,1,96.00,Copacabana,Private room,1,2,3,1125,TRUE,4.94,4.94
139,100%,TRUE,Entire rental unit,within an hour,6,4,17,4.83,4,1,162.00,Copacabana,Entire home/apt,2,1,1,1125,TRUE,4,4
140,50%,TRUE,Entire rental unit,within an hour,10,5,188,4.9,4.9,1,586.00,Botafogo,Entire home/apt,7,5,2,300,TRUE,4.9,4.9
141,100%,TRUE,Private room in home,N/A,1,5,365,5,5,1,114.00,Vidigal,Private room,4,2,1,1125,TRUE,5,5
142,100%,FALSE,Private room in rental unit,N/A,6,4.6,178,4.8,4,1,257.00,Copacabana,Private room,2,1,4,1125,TRUE,4,4
143,65%,TRUE,Entire rental unit,within a few hours,1,5,315,5,3,2.5,1050.00,Copacabana,Entire home/apt,6,4,4,365,TRUE,3,3
144,100%,TRUE,Private room in guest suite,within an hour,24,4.63,48,4.88,4.33,1,180.00,Copacabana,Private room,2,1,7,1125,TRUE,4.33,4.33
145,100%,TRUE,Entire condo,within a day,1,5,340,5,4,2.5,690.00,Copacabana,Entire home/apt,6,2,5,30,TRUE,4,4
146,N/A,TRUE,Shared room in rental unit,N/A,0,4.73,365,4.86,4.68,1,150.00,Botafogo,Shared room,1,1,1,1125,TRUE,4.68,4.68
147,68%,FALSE,Entire rental unit,within a few hours,10,4.9,355,5,4.8,3,1500.00,Leblon,Entire home/apt,6,5,4,10,TRUE,4.8,4.8
148,100%,TRUE,Entire loft,within an hour,93,4.94,365,4.99,4.82,1,244.00,Ipanema,Entire home/apt,4,2,1,1125,TRUE,4.82,4.82
149,67%,TRUE,Entire rental unit,within a few hours,4,5,179,5,4.75,1,333.00,Leblon,Entire home/apt,3,2,2,365,TRUE,4.75,4.75
150,97%,TRUE,Entire rental unit,within an hour,19,4.47,96,4.95,4.42,1,198.00,Botafogo,Entire home/apt,3,2,2,365,TRUE,4.42,4.42
151,60%,TRUE,Private room in rental unit,N/A,0,4.73,68,4.86,4.68,1,160.00,Botafogo,Private room,2,1,1,365,TRUE,4.68,4.68
152,0%,FALSE,Entire rental unit,within an hour,8,4.63,363,4.63,4.5,1,400.00,Leblon,Entire home/apt,4,2,1,1125,TRUE,4.5,4.5
153,98%,TRUE,Entire rental unit,within an hour,114,4.96,91,4.98,4.82,1,230.00,Botafogo,Entire home/apt,3,2,3,85,TRUE,4.82,4.82
154,83%,FALSE,Entire rental unit,within a few hours,0,4.73,156,4.86,4.68,1.5,1000.00,Leblon,Entire home/apt,4,1,2,365,TRUE,4.68,4.68
155,86%,TRUE,Entire rental unit,within an hour,23,4.57,64,4.91,4.7,1,226.00,Copacabana,Entire home/apt,3,2,4,1125,TRUE,4.7,4.7
156,53%,TRUE,Entire villa,within a few hours,3,4.67,82,5,4.67,2.5,4000.00,Joá,Entire home/apt,4,2,2,28,TRUE,4.67,4.67
157,0%,FALSE,Private room in rental unit,within a day,0,4.73,214,4.86,4.68,1,301.00,Ipanema,Private room,2,1,1,60,TRUE,4.68,4.68
158,100%,TRUE,Entire rental unit,within an hour,32,4.88,0,4.97,4.8,2.5,1000.00,Leblon,Entire home/apt,5,2,3,60,TRUE,4.8,4.8
159,100%,TRUE,Entire rental unit,within an hour,14,4.71,82,5,4.64,1,493.00,Leblon,Entire home/apt,3,1,3,365,TRUE,4.64,4.64
160,N/A,FALSE,Entire rental unit,N/A,0,4.73,365,4.86,4.68,1,20000.00,Copacabana,Entire home/apt,3,2,1,1125,TRUE,4.68,4.68
161,91%,TRUE,Entire rental unit,within a few hours,1,5,90,5,5,2,340.00,Copacabana,Entire home/apt,7,5,4,365,TRUE,5,5
162,100%,TRUE,Entire rental unit,within an hour,14,4.57,257,5,4.57,3.5,850.00,Copacabana,Entire home/apt,6,3,1,365,TRUE,4.57,4.57
163,100%,TRUE,Entire rental unit,within a few hours,3,3.67,172,4.67,3.67,1,241.00,Copacabana,Entire home/apt,4,2,1,365,TRUE,3.67,3.67
164,33%,FALSE,Entire rental unit,N/A,1,5,364,5,5,1,1300.00,Copacabana,Entire home/apt,4,1,3,10,TRUE,5,5
165,100%,TRUE,Entire rental unit,within a few hours,1,5,340,5,5,1,220.00,Copacabana,Entire home/apt,2,1,2,365,TRUE,5,5
166,29%,FALSE,Entire rental unit,N/A,1,5,181,5,4,2,1100.00,Leblon,Entire home/apt,6,2,7,10,TRUE,4,4
167,0%,TRUE,Private room in condo,N/A,0,4.73,179,4.86,4.68,1,350.00,Copacabana,Private room,2,2,5,1125,TRUE,4.68,4.68
168,45%,TRUE,Entire rental unit,within an hour,3,4.67,361,5,4.33,1,350.00,Ipanema,Entire home/apt,2,1,3,365,TRUE,4.33,4.33
169,0%,TRUE,Entire home,N/A,0,4.73,358,4.86,4.68,5,20000.00,São Conrado,Entire home/apt,8,6,3,180,TRUE,4.68,4.68
170,92%,TRUE,Private room in rental unit,within an hour,1,5,186,5,5,1,105.00,Copacabana,Private room,1,1,1,250,TRUE,5,5
171,N/A,FALSE,Entire rental unit,N/A,75,4.69,232,4.92,4.76,1,279.00,Copacabana,Entire home/apt,4,2,1,1125,TRUE,4.76,4.76
172,N/A,TRUE,Entire rental unit,N/A,228,4.88,73,4.91,4.82,1,168.00,Copacabana,Entire home/apt,2,2,3,1125,TRUE,4.82,4.82
173,N/A,FALSE,Entire rental unit,N/A,1,1,0,1,1,2,1436.00,Leme,Entire home/apt,4,2,1,1125,FALSE,1,1
174,55%,TRUE,Entire rental unit,within a few hours,12,5,206,5,4.75,2,794.00,Copacabana,Entire home/apt,4,3,4,1125,TRUE,4.75,4.75
175,N/A,TRUE,Entire rental unit,N/A,26,4.88,0,4.96,4.76,1.5,200.00,Flamengo,Entire home/apt,3,3,180,1125,TRUE,4.76,4.76
176,100%,FALSE,Entire loft,within an hour,40,4.9,62,4.95,4.95,1,204.00,Copacabana,Entire home/apt,2,1,3,365,TRUE,4.95,4.95
177,100%,TRUE,Entire rental unit,within an hour,23,4.96,325,4.96,4.87,1,362.00,Copacabana,Entire home/apt,3,2,1,365,TRUE,4.87,4.87
178,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1,1043.00,Caju,Entire home/apt,4,2,1,1125,FALSE,4.68,4.68
179,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1,11200.00,Vila Isabel,Entire home/apt,4,2,1,30,FALSE,4.68,4.68
